room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12962087,69524432,Entire home/apt,,3,3,4.5,6,3.0,130.0,,56.164445,10.179845,2017-03-30 22:19:21.226770
13817211,81314917,Entire home/apt,,24,1,0.0,6,3.0,134.0,,56.166464,10.226528,2017-03-30 22:19:21.223570
3259578,14346378,Entire home/apt,,24,6,5.0,4,1.0,133.0,,56.164806,10.198352,2017-03-30 22:19:21.219595
11411191,23286528,Entire home/apt,,4,6,5.0,6,3.0,142.0,,56.174657,10.214894,2017-03-30 22:19:21.215223
3983474,15551563,Entire home/apt,,5,7,4.5,4,3.0,134.0,,56.196971,10.221959,2017-03-30 22:19:21.212022
1265254,2485322,Entire home/apt,,24,69,4.5,6,2.0,139.0,,56.16467,10.201026,2017-03-30 22:19:21.208539
6211654,32208713,Entire home/apt,,3,4,5.0,5,3.0,134.0,,56.164739,10.16192,2017-03-30 22:19:21.203425
16971818,113532560,Entire home/apt,,24,4,5.0,5,3.0,134.0,,56.15498,10.204388,2017-03-30 22:19:21.200859
5450469,28270884,Entire home/apt,,24,14,5.0,2,1.0,133.0,,56.165482,10.230842,2017-03-30 22:19:21.197313
17976578,19190175,Entire home/apt,,24,0,0.0,2,0.0,134.0,,56.169609,10.214662,2017-03-30 22:19:21.193907
3130430,15897181,Entire home/apt,,1,5,5.0,6,3.0,104.0,,56.119435,10.165453,2017-03-30 22:19:19.070394
5753005,22001581,Entire home/apt,,13,1,0.0,8,4.0,112.0,,56.235344,10.194079,2017-03-30 22:19:19.067839
7233242,37872159,Entire home/apt,,2,1,0.0,6,3.0,112.0,,56.124523,10.179787,2017-03-30 22:19:19.065502
